0,zero
1,one
2,patternlength
3,random
4,patternindex
5,currentdisplay
6,count
7,expected
8,button
9,delaycounter
10,delayval
11,lcdcommand
12,lcdaddr
14,fourteen
15,fifteen
16,delay_1counter
17,delay_mslength
18,delay_mscounter
19,displaydelaylength
